x/,Philonotis tomentella
,Phleum alpinum
,Phleum pratense
x/,Physcia caesia
x/,Physcia tenella
,Picea sitchensis
,Pinguicula vulgaris
x/,Placopsis gelida
x/,Placopsis lambii
x/,Placynthium nigrum
x/,Plagiochila porelloides
x/,Plagiomnium curvatulum
x/,Plagiomnium elatum
x/,Plagiomnium ellipticum
,Plantago maritima
,Platanthera hyperborea
x/,Platydictya jungermannioides
x/,Pleurocladula albescens
x/,Pleurozium schreberi
,Poa alpina
,Poa flexuosa
,Poa glauca
,Poa pratensis
x/,Pogonatum nanum
x/,Pogonatum urnigerum
x/,Pohlia bulbifera
x/,Pohlia cruda
x/,Pohlia drummondii
x/,Pohlia elongata
x/,Pohlia filum
x/,Pohlia nutans
x/,Pohlia proligera
x/,Pohlia sp.
x/,Pohlia wahlenbergii
x/,Polychidium muscicola
x/,Polycoccum deformans
,Polystichum lonchitis
x/,Polytrichastrum alpinum
x/,Polytrichastrum formosum
x/,Polytrichastrum longisetum
x/,Polytrichum alpinum
x/,Polytrichum commune
x/,Polytrichum juniperinum
x/,Polytrichum piliferum
x/,Polytrichum sexangulare
x/,Polytrichum strictum
x/,Polytrichum swartzii
x/,Porpidia cinereoatra
x/,Porpidia crustulata
x/,Porpidia flavicunda
x/,Porpidia melinodes
x/,Porpidia soredizodes
x/,Porpidia speirea
x/,Porpidia superba
x/,Porpidia tuberculosa
,Potentilla crantzii
x/,Preissia quadrata
x/,Pronectria erythrinella
x/,Protomicarea limosa
x/,Protopannaria pezizoides
x/,Protothelenella sphinctrinoides
,Prunella vulgaris
x/,Pseudephebe minuscula
x/,Pseudephebe pubescens
x/,Pseudobryum cinclidioides
x/,Pseudocalliergon trifarium

x/,Pseudocalliergon turgescens
x/,Pseudoscleropodium purum
x/,Psilopilum laevigatum
x/,Psoroma hypnorum
x/,Psoroma hypnorum var. hypnorum
x/,Psoroma paleaceum
x/,Pterigynandrum filiforme
x/,Ptilidium ciliare
x/,Ptychostomum archangelicum
x/,Ptychostomum pseudotriquetrum
,Puccinellia capillaris
,Puccinellia coarctata
,Puccinellia maritima
,Puccinellia maritima x P.capillari
,Pyrola minor
,Racomitrium canescens
x/,Racomitrium elongatum
,Racomitrium ericoides
x/,Racomitrium fasciculare
x/,Racomitrium heterostichum
,Racomitrium lanuginosum
x/,Racomitrium sudeticum
,Ranunculus acris
,Ranunculus hyperboreus
,Ranunculus reptans
,Ranunculus subborealis
,Rhinanthus minor
x/,Rhizocarpon
x/,Rhizocarpon badioatrum
x/,Rhizocarpon cinereovirens
x/,Rhizocarpon copelandii
x/,Rhizocarpon expallescens
x/,Rhizocarpon geographicum
x/,Rhizocarpon lavatum
x/,Rhizocarpon obscuratum
x/,Rhizomnium magnifolium
x/,Rhizomnium pseudopunctatum
x/,Rhizomnium punctatum
,Rhodiola rosea
x/,Rhytidiadelphus loreus
x/,Rhytidiadelphus squarrosus
x/,Rhytidiadelphus triquetrus
x/,Rhytidium rugosum
x/,Riccardia chamedryfolia
x/,Riccardia incurvata
x/,Riccardia sp.
x/,Rinodina archaea
x/,Rinodina mniaraea
x/,Rinodina olivaceobrunnea
x/,Rinodina septentrionalis
x/,Rinodina turfacea
,Rubus saxatilis
,Rumex acetosa
,Rumex acetosella
,Sagina nivalis
,Sagina nodosa
,Sagina procumbens
,Sagina saginoides
,Salix arctica
,Salix herbacea
,Salix lanata
,Salix phylicifolia
x/,Sanionia nivalis
x/,Sanionia orthothecioides
x/,Sanionia uncinata
x/,Santessoniella arctophila
x/,Sarmentypnum exannulatum
x/,Sarmentypnum sarmentosum
,Saxifraga cernua
,Saxifraga cespitosa
,Saxifraga cotyledon
,Saxifraga hirculus
,Saxifraga hypnoides
,Saxifraga nivalis
,Saxifraga oppositifolia
,Saxifraga rivularis
,Saxifraga rosacea
,Saxifraga stellaris
x/,Scapania brevicaulis
x/,Scapania calcicola
x/,Scapania hyperborea
x/,Scapania irrigua
x/,Scapania lingulata
x/,Scapania obcordata
x/,Scapania paludicola
x/,Scapania paludosa
x/,Scapania scandica
x/,Scapania sp.
x/,Scapania subalpina
x/,Scapania uliginosa
x/,Scapania undulata
x/,Schadonia fecunda
x/,Schedonorus pratensis
x/,Schistidium agassizii
x/,Schistidium flexipile
x/,Schistidium maritimum
x/,Schistidium maritimum subsp. piliferum
x/,Schistidium papillosum
x/,Schistidium rivulare
x/,Schistidium sp.
x/,Schistidium strictum
x/,Schistidium venetum
x/,Schljakovia kunzeana
x/,Sciuro-hypnum starkei
x/,Sclerococcum sphaerale
x/,Scoliciosporum umbrinum
x/,Scorpidium cossonii
x/,Scorpidium revolvens
x/,Scorpidium scorpioides
,Sedum acre
,Sedum annuum
,Sedum villosum
,Selaginella selaginoides
,Sibbaldia procumbens
,Silene acaulis
,Silene uniflora
x/,Solenostoma gracillimum
x/,Solorina bispora
x/,Solorina crocea
x/,Solorina spongiosa
,Spergula arvensis
x/,Sphaerophorus globosus
x/,Sphagnum balticum
x/,Sphagnum centrale
x/,Sphagnum girgensohnii
x/,Sphagnum inundatum
x/,Sphagnum obtusum
x/,Sphagnum papillosum
x/,Sphagnum sp.
x/,Sphagnum squarrosum
x/,Sphagnum subnitens subsp. ferrugineum
x/,Sphagnum subnitens subsp. subnitens
x/,Sphagnum teres
x/,Sphagnum warnstorfii
x/,Sphenolobus minutus
x/,Splachnum sphaericum
x/,Splachnum vasculosum
x/,Sporastatia testudinea
x/,Sporodictyon terrestre
,Stellaria borealis
,Stellaria crassifolia
,Stellaria humifusa
,Stellaria media
x/,Stereocaulon
x/,Stereocaulon alpinum
x/,Stereocaulon arcticum
x/,Stereocaulon capitellatum
x/,Stereocaulon depressum
x/,Stereocaulon glareosum
x/,Stereocaulon rivulorum
x/,Stereocaulon sp.
x/,Stereocaulon tomentosum
x/,Stereocaulon tornense
x/,Stereocaulon vesuvianum
x/,Straminergon stramineum
,Succisa pratensis
x/,Syntrichia ruralis
x/,Syntrichia ruralis var. ruraliformis
x/,Syntrichia ruralis var. ruralis
,Taraxacum
x/,Tayloria lingulata
x/,Tephromela atra
,Thalictrum alpinum
x/,Thamnolia vermicularis
x/,Thamnolia vermicularis var. subuliformis
x/,Thuidium assimile
,Thymus praecox
x/,Timmia austriaca
x/,Timmia bavarica
x/,Timmia norvegica
,Tofieldia pusilla
x/,Tomentypnum nitens
x/,Toninia squalida
x/,Tortella fragilis
x/,Tortula euryphylla
x/,Tortula subulata
x/,Tremolecia atrata
,Trichophorum cespitosum
x/,Trichostomum brachydontium
,Trientalis europaea
,Trifolium repens
,Triglochin maritima
,Triglochin palustris
x/,Trilophozia quinquedentata
,Tripleurospermum maritimum
,Tripleurospermum perforatum
,Trisetum spicatum
,Trisetum triflorum
x/,Tritomaria polita
x/,Tritomaria quinquedentata
x/,Tritomaria scitula
x/,Ulota phyllantha
x/,Umbilicaria arctica
x/,Umbilicaria cylindrica
x/,Umbilicaria proboscidea
x/,Umbilicaria torrefacta
,Vaccinium myrtillus
,Vaccinium uliginosum
,Veronica alpina
,Veronica fruticans
,Veronica officinalis
,Veronica serpyllifolia
x/,Verrucaria aethiobola
x/,Verrucaria maura
x/,Verrucaria nigrescens
,Vicia cracca
,Viola canina
,Viola palustris
,Viola tricolor
,Viscaria alpina
x/,Warnstorfia exannulata
x/,Warnstorfia sarmentosa
x/,Warnstorfia tundrae

