id,taxon_id,insert_user,insert_time,update_user,update_time
2120,11330,kjartan,2013-10-25T14:47:22Z,NA,NA
2121,19305,kjartan,2013-10-25T14:47:22Z,NA,NA
2122,7971,kjartan,2013-10-25T14:47:22Z,NA,NA
2123,7761,kjartan,2013-10-25T14:47:22Z,NA,NA
2124,7779,kjartan,2013-10-25T14:47:22Z,NA,NA
2125,7789,kjartan,2013-10-25T14:47:22Z,NA,NA
2126,7277,kjartan,2013-10-25T14:47:22Z,NA,NA
2127,8067,kjartan,2013-10-25T14:47:22Z,NA,NA
2128,7985,kjartan,2013-10-25T14:47:22Z,NA,NA
2129,7275,kjartan,2013-10-25T14:47:22Z,NA,NA
2130,2067,kjartan,2013-10-25T14:47:22Z,NA,NA
2131,7872,kjartan,2013-10-25T14:47:22Z,NA,NA
2132,7874,kjartan,2013-10-25T14:47:22Z,NA,NA
2133,7873,kjartan,2013-10-25T14:47:22Z,NA,NA
2134,19306,kjartan,2013-10-25T14:47:22Z,NA,NA
2135,19307,kjartan,2013-10-25T14:47:22Z,NA,NA
2136,19308,kjartan,2013-10-25T14:47:22Z,NA,NA
2137,19309,kjartan,2013-10-25T14:47:22Z,NA,NA
2138,19310,kjartan,2013-10-25T14:47:22Z,NA,NA
2139,11447,kjartan,2013-10-25T14:47:22Z,NA,NA
2140,11332,kjartan,2013-10-25T14:47:22Z,NA,NA
2141,11459,kjartan,2013-10-25T14:47:22Z,NA,NA
2142,19311,kjartan,2013-10-25T14:47:22Z,NA,NA
2143,19312,kjartan,2013-10-25T14:47:22Z,NA,NA
2144,19313,kjartan,2013-10-25T14:47:22Z,NA,NA
2145,19314,kjartan,2013-10-25T14:47:22Z,NA,NA
2146,19315,kjartan,2013-10-25T14:47:22Z,NA,NA
2147,19316,kjartan,2013-10-25T14:47:22Z,NA,NA
2148,19317,kjartan,2013-10-25T14:47:22Z,NA,NA
2149,19318,kjartan,2013-10-25T14:47:22Z,NA,NA
2150,19319,kjartan,2013-10-25T14:47:22Z,NA,NA
2151,19320,kjartan,2013-10-25T14:47:22Z,NA,NA
2152,19321,kjartan,2013-10-25T14:47:22Z,NA,NA
2153,19322,kjartan,2013-10-25T14:47:22Z,NA,NA
2154,19323,kjartan,2013-10-25T14:47:22Z,NA,NA
