id,plot_id,image_path,comments,insert_user,insert_time,update_user,update_time
839,3102,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/E07-3/IMG_3067.jpeg.info,NA,nattsa.holmfridur,2024-09-11T14:15:22Z,NA,NA
840,3102,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/E07-3/IMG_3071.jpeg.info,NA,nattsa.holmfridur,2024-09-11T14:15:24Z,NA,NA
841,3102,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/E07-3/IMG_3072.jpeg.info,NA,nattsa.holmfridur,2024-09-11T14:15:27Z,NA,NA
374,2961,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-40-01/IMG_4326.JPG.info,NA,na.margret,2022-11-18T11:13:50Z,NA,NA
375,2961,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-40-01/IMG_4327.JPG.info,NA,na.margret,2022-11-18T11:14:00Z,NA,NA
376,2961,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-40-01/IMG_4328.JPG.info,NA,na.margret,2022-11-18T11:14:05Z,NA,NA
377,2961,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-40-01/IMG_4329.JPG.info,NA,na.margret,2022-11-18T11:14:09Z,NA,NA
378,2961,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-40-01/IMG_4330.JPG.info,NA,na.margret,2022-11-18T11:14:13Z,NA,NA
379,2961,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-40-01/IMG_4331.JPG.info,NA,na.margret,2022-11-18T11:14:16Z,NA,NA
381,2962,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-10-01/IMG_4298.JPG.info,NA,na.margret,2022-11-18T14:39:21Z,NA,NA
382,2962,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-10-01/IMG_4299.JPG.info,NA,na.margret,2022-11-18T14:39:47Z,NA,NA
383,2962,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-10-01/IMG_4300.JPG.info,NA,na.margret,2022-11-18T14:39:51Z,NA,NA
384,2962,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-10-01/IMG_4301.JPG.info,NA,na.margret,2022-11-18T14:40:03Z,NA,NA
385,2962,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-10-01/IMG_4302.JPG.info,NA,na.margret,2022-11-18T14:40:06Z,NA,NA
386,2962,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-10-01/IMG_4303.JPG.info,NA,na.margret,2022-11-18T14:40:13Z,NA,NA
387,2962,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-10-01/IMG_4304.JPG.info,NA,na.margret,2022-11-18T14:40:21Z,NA,NA
388,2962,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-10-01/IMG_4305.JPG.info,NA,na.margret,2022-11-18T14:40:27Z,NA,NA
389,2962,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-10-01/IMG_4296.JPG.info,NA,na.margret,2022-11-18T14:40:29Z,NA,NA
390,2963,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-40-03/IMG_3765.JPG.info,NA,na.margret,2022-11-18T15:41:11Z,NA,NA
391,2963,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-40-03/IMG_3766.JPG.info,NA,na.margret,2022-11-18T15:41:17Z,NA,NA
392,2963,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-40-03/IMG_3767.JPG.info,NA,na.margret,2022-11-18T15:41:20Z,NA,NA
393,2963,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-40-03/IMG_3768.JPG.info,NA,na.margret,2022-11-18T15:41:21Z,NA,NA
394,2963,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-40-03/IMG_3769.JPG.info,NA,na.margret,2022-11-18T15:41:26Z,NA,NA
395,2963,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-40-03/IMG_3770.JPG.info,NA,na.margret,2022-11-18T15:41:29Z,NA,NA
396,2964,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-43-01/IMG_3738.JPG.info,NA,na.margret,2022-11-21T11:13:47Z,NA,NA
397,2964,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-43-01/IMG_3739.JPG.info,NA,na.margret,2022-11-21T11:13:53Z,NA,NA
398,2964,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-43-01/IMG_3740.JPG.info,NA,na.margret,2022-11-21T11:13:55Z,NA,NA
399,2964,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-43-01/IMG_3741.JPG.info,NA,na.margret,2022-11-21T11:13:58Z,NA,NA
